method,dispatch_error,dispatch_error_std,coverage,coverage_std,extreme_miss,extreme_miss_std,runtime,runtime_std,library_size,memory_proxy,p_value_vs_dual,effect_size_d
xrfm_dual_library,0.39254025228468215,0.02289401232073925,0.7096774193548387,0.0,0.0,0.0,16.799999999999997,0.0,12.0,144.0,1.0,0.0
hierarchical,0.45925239512146077,0.028061819458850758,0.7096774193548387,0.0,0.1,0.13693063937629155,10.891682772527862,0.37269916565435185,6.0,72.0,0.03125,2.326153857999527
spectral,0.4645565442056154,0.024723307681650465,0.7096774193548387,0.0,0.15,0.13693063937629152,10.777676432018785,0.09797655952863062,6.0,72.0,0.03125,2.8595016621912515
xrfm,0.47392707508577425,0.021536603209130912,0.7096774193548387,0.0,0.2,0.2091650066335189,10.854705002942035,0.12490967052532113,6.0,72.0,0.03125,4.204298516951255
kmeans,0.4787383324104895,0.032341332378931525,0.7096774193548387,0.0,0.25,0.1767766952966369,10.6363682078124,0.09329227295567342,6.0,72.0,0.03125,2.0478252230079668
kmedoids,0.4806363742222901,0.03529224611582696,0.7096774193548387,0.0,0.25,0.1767766952966369,11.154257946768114,0.15014153492461393,6.0,72.0,0.03125,1.9771861891875102
