case_name,method,selected_count,objective_mape_pct,worst_objective_error_pct,line_loading_mae_pct,voltage_min_mae_pu,selection_time_s,reduced_opf_time_s,full_opf_time_s,time_saving_ratio,scenario_retention_ratio,sample_id,sample_seed
case30,kmeans_feature,4,1.2284068564578172,3.2655836208142324,0.9855387260396758,0.0008165555087160042,0.36615030000029947,0.597636300000886,2.7477572999978293,4.59770817133055,0.2222222222222222,1,2026
case30,forward_feature,4,1.2997162402204938,4.003601083557895,0.7116173893759618,0.0011091056863225843,0.0006730999994033482,0.6165806999979395,2.7477572999978293,4.456443901028709,0.2222222222222222,1,2026
case30,opf_sensitivity,4,1.0324416721778487,4.003601083557895,1.0268254220249535,0.001137743661048586,0.3054407999989053,0.6185337000006257,2.7477572999978293,4.4423728246254806,0.2222222222222222,1,2026
case30,opf_kkt_active_set,4,2.162378755928792,4.309863353450278,1.9604178825683134,0.0024972182936256284,0.002101500000208034,0.6352028000001155,2.7477572999978293,4.325795320797279,0.2222222222222222,1,2026
case30,kmeans_feature,8,0.33603730885723815,1.6967351317866772,0.23352576741997588,0.0004496742350422251,0.3089130999996996,1.226629500000854,2.7477572999978293,2.240087410253802,0.4444444444444444,1,2026
case30,forward_feature,8,0.36858748701906313,1.1161649818373824,0.2533780319155525,0.0004542211945080347,0.0008737000007386087,1.2313320999983262,2.7477572999978293,2.231532256814847,0.4444444444444444,1,2026
case30,opf_sensitivity,8,0.5008444306815194,2.733846957955912,0.5023692313461147,0.00010170375658312568,0.3079352000004292,1.2021609000003082,2.7477572999978293,2.285681808480982,0.4444444444444444,1,2026
case30,opf_kkt_active_set,8,1.237127631003267,3.552793100512277,1.1746838756806914,0.0007700144913056236,0.002023400000325637,1.2597544999989623,2.7477572999978293,2.181184746710643,0.4444444444444444,1,2026
case30,kmeans_feature,12,0.2435619397279101,1.2713256045222565,0.10083144739263854,0.0004356631496046494,0.31156239999836544,1.8115290999994613,2.7477572999978293,1.5168165391318562,0.6666666666666666,1,2026
case30,forward_feature,12,0.29649646408278013,1.2713256045222565,0.1181126116989309,0.00043622574751842367,0.0007626000005984679,1.8219766999973217,2.7477572999978293,1.5081187920799801,0.6666666666666666,1,2026
case30,opf_sensitivity,12,0.16103598469043975,1.2553658174545366,0.16468853193337119,3.448618952860293e-05,0.3126864999994723,1.8477896000003966,2.7477572999978293,1.4870509607788893,0.6666666666666666,1,2026
case30,opf_kkt_active_set,12,0.2550361981648237,1.1161649818373824,0.2282512090904392,1.403498470295725e-05,0.001953700000740355,1.8593853999991552,2.7477572999978293,1.4777771730374336,0.6666666666666666,1,2026
case118,kmeans_feature,4,1.4418504364988831,3.920952442991062,0.009448390102873757,0.0002734664766461546,0.32262879999871075,1.4359753999960958,6.460044699993887,4.498715437612267,0.2222222222222222,1,2026
