method,dispatch_error,dispatch_error_std,coverage,coverage_std,extreme_miss,extreme_miss_std,runtime,runtime_std,library_size,memory_proxy,p_value_vs_dual,effect_size_d,dispatch_ci95_halfwidth,dispatch_ci95_low,dispatch_ci95_high
xrfm_dual_library,0.3925402522846821,0.0228940123207392,0.7096774193548387,0.0,0.0,0.0,16.799999999999997,0.0,12.0,144.0,1.0,0.0,0.02842211365748964,0.36411813862719244,0.42096236594217173
hierarchical,0.4592523951214607,0.0280618194588507,0.7096774193548387,0.0,0.1,0.1369306393762915,10.891682772527862,0.3726991656543518,6.0,72.0,0.03125,2.326153857999527,0.03483776504186213,0.42441463007959856,0.49409016016332286
spectral,0.4645565442056154,0.0247233076816504,0.7096774193548387,0.0,0.15,0.1369306393762915,10.777676432018785,0.0979765595286306,6.0,72.0,0.03125,2.8595016621912515,0.030693119714992185,0.4338634244906232,0.49524966392060754
xrfm,0.4739270750857742,0.0215366032091309,0.7096774193548387,0.0,0.2,0.2091650066335189,10.854705002942037,0.1249096705253211,6.0,72.0,0.03125,4.204298516951255,0.02673693783468754,0.44719013725108664,0.5006640129204617
kmeans,0.4787383324104895,0.0323413323789315,0.7096774193548387,0.0,0.25,0.1767766952966369,10.6363682078124,0.0932922729556734,6.0,72.0,0.03125,2.0478252230079668,0.040150630297160664,0.43858770211332887,0.5188889627076502
kmedoids,0.4806363742222901,0.0352922461158269,0.7096774193548387,0.0,0.25,0.1767766952966369,11.154257946768114,0.1501415349246139,6.0,72.0,0.03125,1.9771861891875104,0.04381408624574996,0.43682228797654016,0.5244504604680401
