method,runtime,runtime_std,library_size,memory_proxy
xrfm_dual_library,16.799999999999997,0.0,12.0,144.0
hierarchical,10.891682772527862,0.37269916565435185,6.0,72.0
spectral,10.777676432018785,0.09797655952863062,6.0,72.0
xrfm,10.854705002942035,0.12490967052532113,6.0,72.0
kmeans,10.6363682078124,0.09329227295567342,6.0,72.0
kmedoids,11.154257946768114,0.15014153492461393,6.0,72.0
