feature,importance
pv_peak,0.11919497478398686
pv_std,0.11466399268876308
pv_mean,0.11332675440312977
peak_power,0.10924205440920016
wind_std,0.10194806774778165
wind_mean,0.09415532652779601
std_power,0.09093443770428933
wind_peak,0.08862855828518855
mean_power,0.08043546065990854
smoothness,0.04441829457769189
ramp_max,0.029056546073091202
complementarity,0.013995532139172972
