mean_power,std_power,peak_power,ramp_max,smoothness,complementarity,wind_mean,pv_mean,wind_peak,pv_peak,wind_std,pv_std,low_output_rate,power_deficit,risk_score,scenario_index,wind_label,pv_label,stratify_tag,subset,risk_weight_1,risk_weight_2,risk_weight_3,risk_weight_4,risk_bin,opf_tag,load_scale,reactive_scale,renewable_scale,scenario_stress
0.1449132521607421,0.092161986571551,0.3754203543237999,0.1446589050294898,0.0328351754308339,0.3063459283583987,0.1781279988591206,0.1116985054623636,0.476175729388328,0.6304874458204996,0.1068891159430954,0.186440464937856,0.3229166666666667,0.8550867478392579,3.105628472607953,20,0,1,0_1,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,0_1_1,0.9665246858645284,0.8461859686232912,0.28332876531501555,0.26506271693999006
0.1100764002302334,0.087150305726172,0.3906657818822245,0.1626215736453757,0.019280327397211,0.0218990393907583,0.1478753316988372,0.0722774687616296,0.3541392077715524,0.6276976388407236,0.0812731314263539,0.1559827508238012,0.5729166666666666,0.8899235997697665,3.5047664030644867,29,0,0,0_0,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,0_0_2,0.9610818582342691,0.8426435261912558,0.24280796711790803,0.27865360066159667
0.0724680103123773,0.120308879312259,0.473003741799081,0.1846738915662998,0.022412505055539,-0.5661158630118791,0.0883698263763063,0.0565661942484484,0.5703689108606252,0.5490202732575138,0.1365066661881789,0.1354061921496573,0.7291666666666666,0.9275319896876226,4.054385952308747,46,1,0,1_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,1_0_3,0.9617939762423835,0.850502204358694,0.201748030252841,0.3041463700886802
0.0387037728524848,0.0552142480681095,0.2165167515137283,0.1881509130729844,0.039244100707106,-0.105898405194518,0.0579320470218959,0.0194754986830738,0.3793896402710791,0.0858550261955727,0.1038394248912719,0.0281538969269763,0.8541666666666666,0.9612962271475152,4.508770778699724,47,0,2,0_2,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,0_2_3,0.9293924297218698,0.8392110727022631,0.16258651136341642,0.30130196165032774
0.244199559880902,0.0763462401017979,0.4030876946920863,0.1523101432246243,0.0290545804638032,0.7626374219505826,0.3693067963097511,0.1190923234520529,0.8061753893841725,0.4444649362398037,0.2322917605894416,0.1499659880575976,0.0,0.755800440119098,3.3657765856981987,55,2,0,2_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,2_0_2,0.9891486814453889,0.84202599730588,0.38831877022015243,0.24548986570287165
0.2072227971354086,0.2095461361983449,0.5241058002429266,0.4409006904724973,0.0399229039299001,-0.5082208671577281,0.4000401540684441,0.0144054402023731,1.0,0.05239760421291,0.4096174816168743,0.0180740674661262,0.5104166666666666,0.7927772028645914,5.343545501483252,68,2,2,2_2,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,2_2_3,0.9938551394513744,0.8732862726710179,0.33902448101241633,0.4249073034418259
0.4212526829858636,0.1519728479813427,0.6383688021585376,0.084266592905516,0.0144673158860006,-0.3325027306429458,0.8021249697305755,0.0403803962411519,1.0,0.2797795729899798,0.268885935935752,0.0781555724575027,0.0,0.5787473170141364,3.052023735840588,97,2,1,2_1,val,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,2_1_1,1.0480874168130265,0.8560381434153754,0.566353356759272,0.1897240610404539
0.0441184440592487,0.0657923037668974,0.2736801519713079,0.1759792231169728,0.0128739684630022,0.2211584978111533,0.0339272096602469,0.0543096784582505,0.2153852724649542,0.5473603039426158,0.0617596569338297,0.1306493266909286,0.8854166666666666,0.9558815559407512,4.23881963966688,105,0,0,0_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,3,0_0_3,0.9361917040089806,0.8367916211520577,0.1717553341080362,0.29361178034631635
0.1591795563468754,0.1443429298512063,0.4246195983148965,0.0891475027082159,0.0155386441773819,-0.1663849842980463,0.209930219702104,0.1084288929916466,0.7781271622766827,0.4808411726012462,0.2179792221642712,0.1564489043666944,0.5208333333333334,0.8408204436531246,2.573181514864408,106,1,1,1_1,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,0,1_1_0,0.9742978711008647,0.8545524005191941,0.29798142346338385,0.24316029047271234
0.0922876391028834,0.103085105488972,0.3415196463795655,0.0639796975389819,0.0135462983379125,0.2401333776093883,0.1819366642160732,0.0026386139896937,0.683039292759131,0.0262858602402376,0.2075982436198664,0.006328009222852,0.5729166666666666,0.9077123608971164,2.9219414831432493,123,1,2,1_2,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,0,1_2_0,0.9526094924585332,0.845117056908398,0.21716588245699694,0.2355039718804999
0.1196631071444413,0.1370398321164788,0.3989454796094859,0.2193448645264599,0.0203135403940717,-0.3108678719529694,0.1224381591729055,0.1168880551159771,0.6230568819854142,0.5232515495204833,0.1696475446518757,0.1688938553727976,0.6145833333333334,0.8803368928555586,3.8160982197829902,124,1,1,1_1,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,2,1_1_2,0.9638271693898368,0.8538052003365582,0.25733506801326106,0.3151791312970446
0.2711688376963915,0.0911367539386933,0.3886120292761241,0.1094547154718375,0.0246205008708005,0.7009065644649598,0.3992477575132349,0.143089917879548,0.7735412780217947,0.6092729514634496,0.2522273945204867,0.2060950418479123,0.0416666666666666,0.7288311623036086,3.090743851815632,128,2,0,2_0,train,0.7072497888210673,0.086505875684668,2.137990735364954e-16,0.2062443354942645,1,2_0_1,0.9930949704668908,0.8444817760232566,0.4190362713691659,0.22118299107145917
