case_name,method,selected_count,objective_mape_pct,worst_objective_error_pct,line_loading_mae_pct,voltage_min_mae_pu,selection_time_s,reduced_opf_time_s,full_opf_time_s,time_saving_ratio,scenario_retention_ratio
case30,kmeans_feature,4,1.2284068564578172,3.2655836208142324,0.9855387260396758,0.0008165555087160042,0.34235240000089107,0.5935913000012079,2.6825661000057153,4.519213977698556,0.2222222222222222
case30,forward_feature,4,1.2997162402204938,4.003601083557895,0.7116173893759618,0.0011091056863225843,0.0006756999991921475,0.5929672000002029,2.6825661000057153,4.523970465828122,0.2222222222222222
case30,opf_sensitivity,4,1.0324416721778487,4.003601083557895,1.0268254220249535,0.001137743661048586,0.306499199999962,0.6068043000013859,2.6825661000057153,4.420809311996617,0.2222222222222222
case30,opf_kkt_active_set,4,2.162378755928792,4.309863353450278,1.9604178825683134,0.0024972182936256284,0.002444699999614386,0.6231060000027355,2.6825661000057153,4.3051520928926035,0.2222222222222222
case30,kmeans_feature,8,0.33603730885723815,1.6967351317866772,0.23352576741997588,0.0004496742350422251,0.3070646999985911,1.1957245000030525,2.6825661000057153,2.243465028941756,0.4444444444444444
case30,forward_feature,8,0.36858748701906313,1.1161649818373824,0.2533780319155525,0.0004542211945080347,0.000705000000380096,1.2004852000009123,2.6825661000057153,2.2345682395781945,0.4444444444444444
case30,opf_sensitivity,8,0.5008444306815194,2.733846957955912,0.5023692313461147,0.00010170375658312568,0.29818900000100257,1.201713300002666,2.6825661000057153,2.2322846056540806,0.4444444444444444
case30,opf_kkt_active_set,8,1.237127631003267,3.552793100512277,1.1746838756806914,0.0007700144913056236,0.002085300000544521,1.2043936000027315,2.6825661000057153,2.2273168007532016,0.4444444444444444
case30,kmeans_feature,12,0.2435619397279101,1.2713256045222565,0.10083144739263854,0.0004356631496046494,0.2939440999998624,1.784938400005558,2.6825661000057153,1.5028900156987839,0.6666666666666666
case30,forward_feature,12,0.29649646408278013,1.2713256045222565,0.1181126116989309,0.00043622574751842367,0.0007349000006797723,1.7842921000028582,2.6825661000057153,1.5034343872292089,0.6666666666666666
case30,opf_sensitivity,12,0.16103598469043975,1.2553658174545366,0.16468853193337119,3.448618952860293e-05,0.28928389999964566,1.8037488000045414,2.6825661000057153,1.4872171224723538,0.6666666666666666
case30,opf_kkt_active_set,12,0.2550361981648237,1.1161649818373824,0.2282512090904392,1.403498470295725e-05,0.002846800000043004,1.800218300002598,2.6825661000057153,1.490133779887608,0.6666666666666666
case118,kmeans_feature,4,1.4418504364988831,3.920952442991062,0.009448390102873757,0.0002734664766461546,0.2873483000003034,1.420390100000077,6.3257887000036135,4.453557300915622,0.2222222222222222
case118,forward_feature,4,1.347854790747448,4.681268800456567,0.009536223874589793,0.00031530893054042427,0.0006864999995741528,1.3909820999979274,6.3257887000036135,4.547713949743163,0.2222222222222222
case118,opf_sensitivity,4,1.5394831514242617,4.8663077971192275,0.009255350251273727,0.0004562595889406514,0.29078630000003614,1.3771896999987803,6.3257887000036135,4.593258793620963,0.2222222222222222
case118,opf_kkt_active_set,4,2.9422189362159092,5.823516594529939,0.0151551029903504,0.0011306763604787735,0.0013334000013855984,1.413626400000794,6.3257887000036135,4.474865990052294,0.2222222222222222
case118,kmeans_feature,8,0.3557214142674445,2.0698463486140875,0.002522649692026214,0.00012385362066054859,0.2908518999993248,2.81048340000234,6.3257887000036135,2.2507831570890424,0.4444444444444444
case118,forward_feature,8,0.34404622919928324,1.0624590995067913,0.0026815106990219187,0.00012796868176935384,0.0006558000004588393,2.797791099999813,6.3257887000036135,2.2609939319644115,0.4444444444444444
case118,opf_sensitivity,8,0.5885699068311583,2.8012902284822925,0.004258343468692842,0.00023521804007787929,0.2902551000006497,2.838139299999966,6.3257887000036135,2.2288506769219145,0.4444444444444444
case118,opf_kkt_active_set,8,1.5469678494619445,4.800328007307407,0.009687759833944012,0.0003140414596741994,0.0013498000007530209,2.8092779999988124,6.3257887000036135,2.2517489191195343,0.4444444444444444
case118,kmeans_feature,12,0.23213326253577668,1.3858215316875526,0.0018719790502491741,4.609298518069386e-05,0.3234327999998641,4.246566000001621,6.3257887000036135,1.489624487174154,0.6666666666666666
case118,forward_feature,12,0.26978976311629166,1.3858215316875526,0.002209997120946482,4.579861226523047e-05,0.0010852999985218048,4.249817100000655,6.3257887000036135,1.4884849279755212,0.6666666666666666
case118,opf_sensitivity,12,0.24589193211509988,1.366879027808067,0.001669673834833802,0.00013333301545644569,0.2975320000005013,4.179670300001817,6.3257887000036135,1.5134659544799176,0.6666666666666666
case118,opf_kkt_active_set,12,0.367528857866348,1.937926931184963,0.0027211138343009467,0.0001098311431564235,0.001330900000539259,4.26121830000011,6.3257887000036135,1.4845023781117834,0.6666666666666666
