case_name,method,selected_count,objective_mape_pct,worst_objective_error_pct,line_loading_mae_pct,voltage_min_mae_pu,selection_time_s,reduced_opf_time_s,full_opf_time_s,time_saving_ratio,scenario_retention_ratio,sample_id,sample_seed
case30,kmeans_feature,4,0.4375652145346653,1.4591179641862901,0.41371194543553474,0.0007306785283513658,0.4845915000005334,0.6729938000007678,3.0282146999979886,4.499617529900772,0.2222222222222222,3,2028
case30,forward_feature,4,1.6814968191269393,3.697595621906284,1.5677430295404078,0.0016529262771408032,0.0006710999987262767,0.6954617999999755,3.0282146999979886,4.354250226249803,0.2222222222222222,3,2028
case30,opf_sensitivity,4,1.4708077989674524,4.822372311381912,1.2732162734568746,0.002796461037547135,0.45268659999965166,0.7001463999986299,3.0282146999979886,4.325116432797361,0.2222222222222222,3,2028
case30,opf_kkt_active_set,4,1.9944307818904154,3.697595621906284,1.5562176933718586,0.0019324739493640096,0.0033190000012837118,0.7036778000001505,3.0282146999979886,4.303410879236692,0.2222222222222222,3,2028
case30,kmeans_feature,8,0.5420010247729993,3.4823582971635214,0.5298637173189596,0.00015655887343922636,0.41372409999894444,1.362225299999409,3.0282146999979886,2.222991086716201,0.4444444444444444,3,2028
case30,forward_feature,8,0.6094707655100742,3.4823582971635214,0.4603383353963469,0.00015788427485801608,0.0006938000005902722,1.38642290000098,3.0282146999979886,2.184192644247183,0.4444444444444444,3,2028
case30,opf_sensitivity,8,0.44173907367359483,1.4217470084979689,0.33315538223463725,0.0001235996174511447,0.480725600000369,1.3568105999966065,3.0282146999979886,2.231862501667928,0.4444444444444444,3,2028
case30,opf_kkt_active_set,8,1.02510786061011,3.365170986114813,0.7713962130470919,0.00021896908382949368,0.0037621999999828404,1.3633604999995441,3.0282146999979886,2.221140116644865,0.4444444444444444,3,2028
case30,kmeans_feature,12,0.2625345256965111,1.4967189376281178,0.13740160096409682,4.364616129562096e-05,0.6187413000006927,2.019016099999135,3.0282146999979886,1.4998467322768185,0.6666666666666666,3,2028
case30,forward_feature,12,0.2388265258583041,1.4967189376281178,0.12382614304627282,4.747644757943339e-05,0.0011169999997946434,2.040025799999057,3.0282146999979886,1.4844001972913226,0.6666666666666666,3,2028
case30,opf_sensitivity,12,0.17192925993291627,1.4641650214833795,0.12942443604711842,2.7660153383537692e-05,0.48669750000044587,2.0325604999998177,3.0282146999979886,1.4898521839808754,0.6666666666666666,3,2028
case30,opf_kkt_active_set,12,0.3328851835463188,2.0554322645725454,0.17953864313054485,6.20376211215702e-05,0.002865899999960675,2.004441599998245,3.0282146999979886,1.5107522713560926,0.6666666666666666,3,2028
case118,kmeans_feature,4,0.4958880746526925,1.5424272441155205,0.0032639093912131636,0.00030034645792437816,0.4145172000007733,1.7738286000003427,8.07649329999549,4.553141887549863,0.2222222222222222,3,2028
case118,forward_feature,4,1.894681089703318,4.160097955558804,0.012049286560194291,0.00036390629284803005,0.0007697000000916887,1.6577085999979317,8.07649329999549,4.8720826446853005,0.2222222222222222,3,2028
case118,opf_sensitivity,4,1.7075705359842164,4.121970702119189,0.011018198938917015,0.0003367636967227651,0.4234168999992107,1.7253038999988348,8.07649329999549,4.681200396058309,0.2222222222222222,3,2028
case118,opf_kkt_active_set,4,2.257472659871055,4.203454619079331,0.015773916477935135,0.000277879984087015,0.002115899998898385,1.6991059999982099,8.07649329999549,4.753378129442189,0.2222222222222222,3,2028
case118,kmeans_feature,8,0.6456922836194257,3.9269188547194864,0.004242263118984408,0.00011151635539693079,0.4742767999996431,3.5126026999987516,8.07649329999549,2.2992902954832783,0.4444444444444444,3,2028
case118,forward_feature,8,0.5786067822096821,3.9269188547194864,0.004613160891964914,0.00020920173916477095,0.0007157000000006519,3.442758599996523,8.07649329999549,2.345936569588018,0.4444444444444444,3,2028
case118,opf_sensitivity,8,0.41009425384198195,1.5424272441155205,0.002816640397096442,0.00014579255216643863,0.4756397000001016,3.541907299997547,8.07649329999549,2.2802667082792043,0.4444444444444444,3,2028
case118,opf_kkt_active_set,8,1.142287676983174,3.778538705846718,0.008008552009198144,0.00017352190704321579,0.0014759000005142298,3.420303899996725,8.07649329999549,2.3613379208798446,0.4444444444444444,3,2028
case118,kmeans_feature,12,0.2766039832248794,1.664843346386946,0.002014316119187528,6.783588474738404e-05,0.47588510000059614,5.334848099995725,8.07649329999549,1.5139125142104728,0.6666666666666666,3,2028
case118,forward_feature,12,0.2512328796992048,1.664843346386946,0.0018544363550129105,6.215419629127282e-05,0.0013443999996525235,5.305307699994955,8.07649329999549,1.52234210656682,0.6666666666666666,3,2028
case118,opf_sensitivity,12,0.14996078162771864,1.0147385822311643,0.0009503464596471507,8.367855408780094e-05,0.5137801000000763,5.451315899996189,8.07649329999549,1.4815676523169639,0.6666666666666666,3,2028
case118,opf_kkt_active_set,12,0.3104939077575677,1.6850278078477487,0.0017786956986878266,0.0001558005104504249,0.0014705000012327218,5.310003099995811,8.07649329999549,1.5209959670271873,0.6666666666666666,3,2028
